,Image_name,Volume_agg_SITK (nm^3),Centroid,bbox_agg_0,bbox_agg_1,Aggregate ID,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,r_agg_dist_488,r_agg_dist_560,r_agg_dist_405,p_agg_min_488,p_agg_min_560,p_agg_min_405
0,2023-10-03_Z_stack6_nuc29,942.0,"(38.8927813163482, 134.35031847133757, 34.35668789808917)",28,129,1,33,14,11,12,34.35668789808917,134.35031847133757,38.8927813163482,0.7684939922078654,0.6310501657426217,8.757154331398809,13.877112798304017,15.748015748023622,928.8333333333334,10.664477814687515,0.8890802356550948,517.8075323477813,0.5574816425779091,942.0,303.0,170.43736730360934,108.0,4.794813259028182,5.517014517063437,4.825611214176405,1.249118727267645,0.33495244938016944,2.1864030094315874
1,2023-10-03_Z_stack6_nuc29,354.0,"(36.83050847457627, 180.81073446327684, 70.91242937853107)",67,177,2,33,9,9,9,70.91242937853107,180.81073446327684,36.83050847457627,0.9026298333007544,0.8031939693722412,7.032638474612556,8.755840734348531,10.295630140987,345.1666666666667,7.903283062452969,0.9056460808491097,262.75128264906516,0.761230176675225,354.0,240.0,166.71468926553672,118.0,4.868828558540847,4.488489849430753,4.465909704824962,0.8846519293908478,0.13540098354310925,1.185860141482965
2,2023-10-03_Z_stack6_nuc29,925.0,"(40.34162162162162, 116.89297297297297, 135.63783783783785)",130,111,3,35,12,12,12,135.63783783783785,116.89297297297297,40.34162162162162,0.9878579410576358,0.9603782649570347,10.579361429366541,11.015827633125202,13.0,912.5416666666666,10.88207280470487,0.9171806828112768,496.0563661542175,0.5435985931099594,925.0,349.0,179.05297297297298,120.0,6.5734927526096865,6.19068991262113,6.709637330212267,0.7222981260265876,0.09162399825436984,0.4085400724093346
3,2023-10-03_Z_stack6_nuc29,2052.0,"(41.52777777777778, 167.09746588693957, 22.359649122807017)",13,161,4,35,20,13,14,22.359649122807017,167.09746588693957,41.52777777777778,0.7803168448416281,0.6754566754825212,11.812404992543037,17.48802761347305,20.71231517720798,2035.4166666666667,13.646202529848559,0.9006439415720466,862.3823844175179,0.4236883771959146,2052.0,347.0,181.54580896686159,106.0,6.981791712919363,7.356551501539904,6.770516588160562,1.1698812162056718,0.368667225779832,1.3164126328894252
4,2023-10-03_Z_stack6_nuc29,474.0,"(40.69620253164557, 69.9324894514768, 115.95147679324894)",112,65,5,36,9,11,10,115.95147679324894,69.9324894514768,40.69620253164557,0.8856814172411943,0.7466856720141057,7.419291349544751,9.93629800011027,11.874342087037917,463.6666666666667,8.800394494868508,0.8938243063483253,324.1175500313084,0.6990313803694644,474.0,255.0,168.8649789029536,117.0,8.306492407738034,8.523317191915218,8.663284603530839,0.49128467810131154,0.07346525227303022,0.1351454031789492
5,2023-10-03_Z_stack6_nuc29,357.0,"(40.89355742296919, 105.8795518207283, 77.0952380952381)",73,102,6,37,9,9,9,77.0952380952381,105.8795518207283,40.89355742296919,0.9106639256997573,0.8184782549771662,7.112134604169335,8.689460667916887,10.04987562112089,348.0,7.913178364058828,0.9099396276960928,262.9406354950679,0.7555765387789307,357.0,251.0,172.49299719887955,109.0,3.4098162268545398,4.063771865204679,3.791298505207064,0.5637139823560161,0.4682506983536945,0.5279393249971726
6,2023-10-03_Z_stack6_nuc30,453.0,"(30.874172185430464, 170.841059602649, 125.36203090507726)",121,166,7,27,9,10,9,125.36203090507726,170.841059602649,30.874172185430464,0.8985146325382397,0.7703596200909058,7.448797156383758,9.669246624718944,11.575836902790225,443.0,8.687959577930956,0.9079608737437329,309.5181644402737,0.6986866014453131,453.0,219.0,156.42604856512142,116.0,6.319129935334445,7.440117099635394,6.462932466753742,0.6458603151846436,0.13491774453350786,0.63032217745583
7,2023-10-03_Z_stack6_nuc30,499.0,"(36.83567134268537, 72.70741482965931, 83.60320641282566)",79,68,8,33,10,11,9,83.60320641282566,72.70741482965931,36.83567134268537,0.8039468608251835,0.7062393570327189,7.51412352854058,10.639627278931812,11.874342087037917,489.375,8.55369495124722,0.9026507446316759,332.70467188418235,0.6798562899293636,499.0,251.0,160.81763527054107,116.0,5.860165206626873,4.213965883683974,5.932560150729487,0.7557963394808568,0.5789848881452082,0.896789320783236
8,2023-10-03_Z_stack6_nuc30,625.0,"(37.7888, 203.5632, 80.424)",76,198,9,33,10,12,10,80.424,203.5632,37.7888,0.7626358702063272,0.7515111861915829,8.596375565494357,11.438785906911146,13.038404810405298,614.0416666666666,8.723628444221054,0.9057602062512535,385.7175941508626,0.6281619230250868,625.0,232.0,157.952,115.0,8.430483222618752,10.453581556591772,8.307325108748511,0.5854189689429544,1.400556165773524,2.4142927655904196
9,2023-10-03_Z_stack6_nuc30,1748.0,"(40.96052631578947, 125.00629290617849, 78.32723112128147)",71,118,10,34,17,15,14,78.32723112128147,125.00629290617849,40.96052631578947,0.8276588675931758,0.7110548855615236,11.366922503802359,15.985998738797559,18.411952639521967,1732.125,13.230953613499121,0.9019421672167646,773.3182386828296,0.44645636930523463,1748.0,327.0,173.23798627002287,108.0,1.5761800831879478,3.029694073578968,1.264018889133679,0.6906138383418949,1.2273608424254845,1.3575332823595516
10,2023-10-03_Z_stack6_nuc30,339.0,"(38.985250737463126, 71.87020648967551, 100.06784660766962)",95,68,11,36,12,9,8,100.06784660766962,71.87020648967551,38.985250737463126,0.6778637055660446,0.6352799170484139,6.600057522143018,10.389211660912673,13.038404810405298,328.9166666666667,7.042469514376225,0.8618113376108814,267.38015756275297,0.8129115507355043,339.0,219.0,156.79351032448378,115.0,6.00647760082523,4.072574328481214,6.140505269010333,0.6149359085946021,0.9824287611802233,0.7006217072249628
11,2023-10-03_Z_stack6_nuc30,339.0,"(40.46017699115044, 113.30678466076697, 102.33038348082596)",98,110,12,37,10,8,8,102.33038348082596,113.30678466076697,40.46017699115044,0.8848837533775289,0.796510367511224,6.9211322770664925,8.689318506540298,10.392304845413264,330.0,7.689036774360203,0.9147758287149166,252.45195433247727,0.765005922219628,339.0,298.0,163.89675516224187,112.0,2.0521215878871213,1.3009143189540344,2.2356510155844482,0.48065565799068927,1.3595565426020042,0.987387013256626
12,2023-10-03_Z_stack6_nuc30,1081.0,"(43.48843663274746, 79.35615171137836, 56.82331174838113)",51,73,13,38,13,13,12,56.82331174838113,79.35615171137836,43.48843663274746,0.9068022340355179,0.8122743731038357,10.268794279955156,12.642026659928199,14.628738838327793,1068.3333333333333,11.463818017959465,0.9085470615919812,556.2557958648036,0.5206762519795354,1081.0,296.0,169.04902867715077,109.0,6.429184799379544,5.785118908061582,6.316004464070409,0.6529429941125355,0.39387234484338857,0.9710426215119685
