,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Physical pixel size X,Physical pixel size Y,Physical pixel size Z,Pixel size (um2),Voxel size (um3),Size of estimated periphery,p_nuc_min_488
0,2023-10-03_Z_stack2_nuc19,1,HeLa,Confined,"[(71.49102383693659, 123.99569642757567, 127.16126916024575)]",304863.0,6.239084401187291,0.21941236630724206,3,41,57,225,159,29,127.16126916024575,123.99569642757567,71.49102383693659,0.5584082962456501,0.08950164164142262,20.066258134470463,224.19988914687698,226.51710752170575,305119.25,125.19507811697122,0.19822255373379605,110571.73638751228,0.36238859523780387,304863.0,262.0,121.47780806460607,72.0,23.452423418782985,14.058589586239027,5.343886150409087,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,86760,0.2058319006155548
1,2023-10-03_Z_stack3_nuc20,2,HeLa,Confined,"[(54.30090952315219, 84.4382071299662, 134.93429347075875)]",195597.0,8.524756971124656,0.1480056252278726,23,11,35,224,164,32,134.93429347075875,84.4382071299662,54.30090952315219,0.6220979298957183,0.07297544457899527,16.64468913974672,228.08616289728786,228.3396592797668,194155.375,141.89192977626038,0.1321524966095566,122699.19054795917,0.6319639131698475,195597.0,288.0,133.73102348195525,83.0,23.337382356011087,15.297806300999632,4.890658435778516,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,86085,0.23834935354983347
2,2023-10-03_Z_stack4_nuc21,3,HeLa,Confined,"[(60.32386238102392, 138.44491087288893, 98.3318162134455)]",113153.0,5.99882262766856,0.12834908501776768,24,71,47,161,142,27,98.3318162134455,138.44491087288893,60.32386238102392,0.7432628968918213,0.1239014625076005,22.277582383049307,179.80080244559446,169.7910480561328,109925.33333333333,133.63926528918662,0.11211771997399027,98978.69601491233,0.9004175199066549,113153.0,181.0,114.70773200887294,79.0,17.698936761555075,13.278850252569825,5.316213383004743,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,63973,0.6840175103469672
3,2023-10-03_Z_stack4_nuc22,4,HeLa,Confined,"[(60.67668928415912, 101.19530048560546, 89.53872992950177)]",181423.0,5.586761108419277,0.12674661004782228,8,19,48,152,158,26,89.53872992950177,101.19530048560546,60.67668928415912,0.6879668204239027,0.1231423372277612,22.79832862940942,185.1380211116357,185.34832073693033,180396.375,127.3688157237454,0.11188734454423596,137992.3556913141,0.7649397372387006,181423.0,196.0,112.14245161859301,79.0,19.30918880915894,12.883840202078899,5.490863476460669,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,94212,0.1269307495841317
4,2023-10-03_Z_stack4_nuc23,5,HeLa,Confined,"[(60.65151097202538, 90.65407919643111, 106.07998116635436)]",210262.0,7.443709779169485,0.12761808703277003,10,21,49,190,144,25,106.07998116635436,90.65407919643111,60.65151097202538,0.7530906940747579,0.10117142075880013,19.6933105448388,194.6529009589482,192.34344283078642,209770.75,146.59128828683941,0.11326327186789276,150738.77284931563,0.7185881389531936,210262.0,191.0,114.66062341269463,76.0,19.82417702809125,14.645430557720491,5.0771640702903955,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,104335,0.09205287473452343
5,2023-10-03_Z_stack4_nuc24,6,HeLa,Confined,"[(59.66553114759409, 81.14284326057734, 75.73292267493022)]",185231.0,5.156189984925533,0.16545494558143184,19,16,46,127,149,28,75.73292267493022,81.14284326057734,59.66553114759409,0.7553656742625754,0.14649686618820204,22.449589574297217,153.24279732684937,156.1473662922305,185489.75,115.75434892867875,0.14737289433155526,106728.34838800912,0.5753867714415979,185231.0,282.0,115.41813195415455,76.0,16.128467984097245,12.479029320328497,5.717502644525874,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,78979,0.08671575404210521
6,2023-10-03_Z_stack5_nuc25,7,HeLa,Confined,"[(58.250254639988064, 112.05647680538686, 48.98611945705214)]",234645.0,4.441171364343867,0.39245907199793356,0,15,46,102,196,25,48.98611945705214,112.05647680538686,58.250254639988064,0.4679822946717497,0.10537361796686319,20.40613229891471,193.65504091671048,197.76248380317233,234426.16666666666,90.62713042295374,0.3568578974856032,51522.01852551452,0.21977929877927957,234645.0,317.0,126.28934347631528,71.0,19.901025134969657,10.12476183149445,5.176881971191856,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,40620,0.7010412352329224
7,2023-10-03_Z_stack5_nuc26,8,HeLa,Confined,"[(58.57437390034814, 110.74299966308539, 105.9327948938719)]",106852.0,6.221118357358439,0.10392292192152303,8,38,46,184,152,26,105.9327948938719,110.74299966308539,58.57437390034814,0.597565242032757,0.09605431173415022,21.078869122526235,219.44740159990195,198.1741658239035,103374.25,131.13413965050503,0.09034787229932396,117898.36333634064,1.1405003019256792,106852.0,173.0,111.61587054991952,88.0,20.644420123373344,12.40314802996188,5.17821391181956,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,71659,0.1408197680195891
8,2023-10-03_Z_stack5_nuc27,9,HeLa,Confined,"[(58.78681875062929, 108.11780274153877, 156.390129885074)]",139046.0,6.006401181476834,0.10379793691807376,48,38,46,211,141,26,156.390129885074,108.11780274153877,58.78681875062929,0.5023929705192252,0.08364292616160186,19.412542062231232,232.08827037836213,217.7291895911065,136117.33333333334,116.59951557805442,0.0905320027470161,141348.4177598704,1.0384307001792845,139046.0,189.0,110.4798915466824,88.0,22.775399385335405,11.209988182828042,4.996491999684375,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,88930,0.26416726874927227
9,2023-10-03_Z_stack6_nuc28,10,HeLa,Confined,"[(34.20937456417278, 121.93647593811149, 199.57419311213386)]",236619.0,8.49432562651864,0.11453895594930377,57,5,20,279,211,29,199.57419311213386,121.93647593811149,34.20937456417278,0.5031423644619178,0.05923276156157,18.57402881169431,313.57695170750014,288.435434716333,235537.41666666666,157.77384892287225,0.10204265903850668,180748.88593810028,0.7673892687457666,236619.0,274.0,127.36350842493628,78.0,29.94552778214686,16.98518702400912,5.565607630269801,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,121840,0.0802456856277808
