,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Physical pixel size X,Physical pixel size Y,Physical pixel size Z,Pixel size (um2),Voxel size (um3),Size of estimated periphery,p_nuc_min_488
0,2023-10-03_Z_stack1_nuc1,1,HeLa,Non-Confined,"[(34.6617162342151, 132.5826631598469, 606.2384595282653)]",474504.0,5.078045276679569,0.5245993386510766,507,33,18,186,189,32,606.2384595282653,132.5826631598469,34.6617162342151,0.6239581006388167,0.12287367808717585,25.56286639582775,208.04184259619478,209.57576195734086,474698.75,129.80939295972138,0.4807337794990499,61215.050249196946,0.12895557498138965,474504.0,770.0,180.6154257919849,66.0,22.565652128151353,15.69445958081667,7.495966966599228,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,51033,2.2497470912796764
1,2023-10-03_Z_stack1_nuc2,2,HeLa,Non-Confined,"[(35.58914635695234, 86.73650762290494, 155.16720998386512)]",425166.0,4.891999332055703,0.5498969768914379,76,3,19,158,174,32,155.16720998386512,86.73650762290494,35.58914635695234,0.8212377599053736,0.16787364514219422,27.485281949946287,163.72600908656864,178.65049678072546,424426.0833333333,134.45798094050048,0.501536703969453,54456.46510837164,0.12830612266023936,425166.0,993.0,174.7760333610872,69.0,19.017486012604614,15.6288446647957,7.677150217418339,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,44054,2.499943300968247
2,2023-10-03_Z_stack3_nuc3,3,HeLa,Non-Confined,"[(31.234881457546617, 109.70175575193677, 180.15287499513371)]",513740.0,4.568829627846964,0.5627362184943856,76,38,14,217,150,35,180.15287499513371,109.70175575193677,31.234881457546617,0.5794578503913751,0.12682850917871558,27.356363694449858,215.6956970605219,224.46826056260159,513472.8333333333,124.98656495735926,0.5163573402458641,60054.48081509094,0.11695746477030289,513740.0,1772.0,295.1262700977148,117.0,24.167173490217234,14.577006388655413,8.146006632720063,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,50550,2.373789020059186
3,2023-10-03_Z_stack3_nuc4,4,HeLa,Non-Confined,"[(30.14755161267195, 342.88419216777896, 164.9432159300256)]",641606.0,3.822055545149838,0.5994249971872242,62,248,6,192,179,44,164.9432159300256,342.88419216777896,30.14755161267195,0.6842250395852051,0.17902017160726083,35.270682720128704,197.0207178524354,222.8429940563535,641225.4583333334,134.80650847168815,0.5482261171079214,65594.11965669523,0.10229493979728564,641606.0,1539.0,253.44480413213094,84.0,24.130797076932183,16.337749731588417,10.167745766368864,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,53390,3.3955494649911944
4,2023-10-03_Z_stack3_nuc5,5,HeLa,Non-Confined,"[(29.79546683700628, 321.0701266900884, 112.58709251570318)]",469650.0,4.313921145168554,0.5608781966157838,10,245,4,206,145,41,112.58709251570318,321.0701266900884,29.79546683700628,0.5652022403790459,0.1310182132123679,27.499401195237496,209.88991164658626,211.3078323205271,469300.3333333333,118.63024829561054,0.5145615658183164,56756.29299000689,0.1209381050017158,469650.0,1807.0,273.60477163845417,134.0,22.77768926895378,14.319904581723254,9.426668918759237,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,47279,2.301403323000485
5,2023-10-03_Z_stack3_nuc6,6,HeLa,Non-Confined,"[(32.36166624290194, 132.01576828544793, 176.03082252733282)]",471960.0,4.272709385841787,0.5641873459454523,75,46,15,205,166,34,176.03082252733282,132.01576828544793,32.36166624290194,0.5190170218732334,0.12147257746877568,26.794908821929496,220.58401476511915,221.7611327532397,471902.75,114.48685841623349,0.5178202564192728,56607.42865156121,0.11995570835635352,471960.0,1682.0,287.61679379608444,103.0,23.924539844160343,12.868417471306472,7.82924365429248,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,47387,2.5484960687736673
6,2023-10-03_Z_stack3_nuc7,7,HeLa,Non-Confined,"[(30.258714826405605, 167.52023484726902, 101.667203298026)]",598176.0,4.347114546878178,0.5609025814710069,0,74,10,222,172,37,101.667203298026,167.52023484726902,30.258714826405605,0.5545368269187921,0.12756434663471755,29.5178225957226,231.39555349464013,237.77300099044047,597875.6666666666,128.31735599803537,0.5143178139373479,66730.82228220691,0.11161320990742263,598176.0,2154.0,259.6615711763762,110.0,25.63965807011507,15.831159418529843,8.754447736883904,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,55558,2.5985977360194714
7,2023-10-03_Z_stack3_nuc8,8,HeLa,Non-Confined,"[(30.57819693775635, 104.86691157113316, 144.57228064604942)]",497609.0,3.843209119563785,0.5975826490758082,37,23,13,202,151,36,144.57228064604942,104.86691157113316,30.57819693775635,0.5359314482203514,0.13944894267975097,29.71243113320116,213.07032209944197,215.79620015190258,497530.0,114.1910862955307,0.5480561464046485,55403.67679210758,0.11135745943381822,497609.0,2172.0,281.47827712119357,93.0,23.28125843364452,13.830242151711515,8.391300175743314,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,46011,3.0155837000617938
8,2023-10-03_Z_stack3_nuc9,9,HeLa,Non-Confined,"[(29.842933180420605, 212.07929240338004, 136.1206773424143)]",568516.0,5.180436823502725,0.5400505071270136,44,113,11,186,203,36,136.1206773424143,212.07929240338004,29.842933180420605,0.6696750842854039,0.12927000311000947,27.33841463205085,211.4830507800461,221.37298841547945,568106.0,141.62492985606173,0.4953200925081473,66970.63700439954,0.11788405157558544,568516.0,1294.0,258.4003774739849,96.0,23.82243245630503,16.27101579089404,8.272851775233903,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,56173,2.4573113835809637
9,2023-10-03_Z_stack3_nuc10,10,HeLa,Non-Confined,"[(30.328296100185455, 108.47268076480316, 89.57910269096597)]",457791.0,5.840672849089765,0.5314180604620299,3,16,8,170,183,37,89.57910269096597,108.47268076480316,30.328296100185455,0.8583716791552128,0.14696451955684897,25.651732817253134,174.54371228240913,185.51010754134126,457745.0833333333,149.82337939783588,0.48743179596229985,58927.6869649637,0.12873472399932284,457791.0,1738.0,290.04200169946546,125.0,19.56098935289181,17.42706838479294,8.758749012558749,0.1083,0.1083,0.24,0.011728889999999999,0.0028149335999999997,48827,2.3268673165757354
