,Image_name,Nucleus ID,Cell line,Condition,Centroid,Volume_nucleus (nm^3)_SITK,Flatness_nucleus_SITK,Roundness_nucleus_SITK,bbox_nuc_0,bbox_nuc_1,bbox_nuc_2,bbox_nuc_3,bbox_nuc_4,bbox_nuc_5,centroid_nuc_0,centroid_nuc_1,centroid_nuc_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,x_length,y_length,z_length,Size of estimated periphery,p_nuc_min_560
0,2023-10-03_Z_stack1_nuc1,1,HeLa,Non-Confined,"[(34.134364101961275, 134.10388359137124, 601.3136307165363)]",433851.0,5.067842533683662,0.20666636673512948,501,29,18,194,197,33,601.3136307165363,134.10388359137124,34.134364101961275,0.6615638403840306,0.13054151465577563,29.08499747913408,222.80266592453896,217.85775175558936,436375.4583333333,147.39818731683818,0.1864518266657951,149219.08088992606,0.34195112956132917,433851.0,226.0,115.59601107292596,52.0,23.464667667649948,16.37966461429602,7.782966312243902,111541,0.4660428487434153
1,2023-10-03_Z_stack1_nuc2,2,HeLa,Non-Confined,"[(35.8249279271148, 88.25319483305105, 153.74358246040637)]",376702.0,5.372839151346758,0.25512916749270365,67,0,19,170,179,32,153.74358246040637,88.25319483305105,35.8249279271148,0.8217553487699188,0.1529462032311054,26.068229966933195,170.44051709831248,182.03571078225283,376970.7916666667,140.0604065726491,0.22928410858674816,110064.84768442326,0.29197181881865053,376702.0,236.0,113.2271105542312,51.0,19.405280491728615,16.070215680141068,7.566515912033438,86541,0.05734578046998595
2,2023-10-03_Z_stack3_nuc3,3,HeLa,Non-Confined,"[(31.217794227411538, 108.49766282605393, 179.06830316547808)]",454181.0,4.611300134619437,0.2135879556228419,72,35,14,224,154,34,179.06830316547808,108.49766282605393,31.217794227411538,0.5810478327962267,0.12600520803970125,29.114188552971477,231.05543815139998,229.43626565998673,454026.2083333333,134.25426159365355,0.19198429115397836,148800.95270563345,0.32773648299260283,454181.0,230.0,116.98344712790716,59.0,24.73347440074084,15.15184857224302,7.879164959574974,114056,0.07544408733233013
3,2023-10-03_Z_stack3_nuc4,4,HeLa,Non-Confined,"[(30.8737602687267, 339.24992515930376, 164.50366039041572)]",514426.0,4.41504079408121,0.2659812521785076,67,245,11,187,183,38,164.50366039041572,339.24992515930376,30.8737602687267,0.6932064065913077,0.15701019286630846,32.77268680396309,208.72967675333337,209.6687864227768,514103.9583333333,144.69274917114345,0.2399076417406799,129362.18465078955,0.2516265096852533,514426.0,299.0,119.89129048687275,47.0,22.682399311440832,16.70007056242297,8.690687897543933,100852,0.6319053595868559
4,2023-10-03_Z_stack3_nuc5,5,HeLa,Non-Confined,"[(29.985686482734113, 318.91575519918683, 115.79342916998955)]",484018.0,4.072243685207203,0.23580655293589753,7,241,9,213,151,43,115.79342916998955,318.91575519918683,29.985686482734113,0.5986364561701867,0.14700408483529323,33.08871592518497,225.0870508956151,218.58865478336244,485370.0416666667,134.74531447794948,0.21279125482754557,140360.74356011345,0.289182956323678,484018.0,290.0,119.19214574664579,62.0,23.594326820361736,15.105680840819414,9.741097202557658,107977,0.4771767995878105
5,2023-10-03_Z_stack3_nuc6,6,HeLa,Non-Confined,"[(32.64660691421255, 129.14503049578016, 177.86894845777172)]",435798.0,4.3387075191096605,0.22884859790397175,72,43,15,211,171,34,177.86894845777172,129.14503049578016,32.64660691421255,0.5189734687423427,0.11961476233568182,28.641691332289078,239.44946905391365,228.1249657534221,436152.375,124.26792154342182,0.20614056713502818,134920.9795998195,0.3093436774242476,435798.0,248.0,117.3056094796213,51.0,24.58342671023517,13.56030778375001,7.743397545983053,104453,0.1772774919090392
6,2023-10-03_Z_stack3_nuc7,7,HeLa,Non-Confined,"[(29.85470998578033, 166.24767720609586, 105.2816797075662)]",537284.0,4.255689556974904,0.23161876605893292,0,70,10,224,177,38,105.2816797075662,166.24767720609586,29.85470998578033,0.56865990601055,0.13362344654076969,33.3665936017433,249.70612916770455,244.06146766747102,536274.7083333334,141.99786394276512,0.20877272019723575,152898.03998178523,0.28511141324745837,537284.0,265.0,120.74752272541151,50.0,26.314105131539904,16.263590409851155,9.051292920529555,118604,1.0654762093755343
7,2023-10-03_Z_stack3_nuc8,8,HeLa,Non-Confined,"[(29.682620847193565, 103.96040622763064, 144.93385247799907)]",379984.0,4.080740523333893,0.2080173331346531,35,20,12,209,157,38,144.93385247799907,103.96040622763064,29.682620847193565,0.5595428181389197,0.13711796056118386,31.35243855881409,228.6530402763992,220.2203442009843,379555.875,127.94116653228834,0.18711159823742285,135487.9156146527,0.3569643484365845,379984.0,236.0,116.91968346035623,64.0,23.775432727944757,14.131840955365725,8.874539389780573,102487,0.5977129633376684
8,2023-10-03_Z_stack3_nuc9,9,HeLa,Non-Confined,"[(29.59483663859371, 214.89638468009397, 137.51481227216908)]",517105.0,5.022443283218419,0.22057663767421465,40,109,11,194,209,36,137.51481227216908,214.89638468009397,29.59483663859371,0.686746362392287,0.13673551370643106,31.659938247249478,231.54144368977072,226.99118925632334,514928.5,159.0102441970086,0.19858226432940762,156449.77844791234,0.30382815953654213,517105.0,265.0,121.77713617157058,53.0,24.433308427503075,17.04460696034672,8.577872105015283,121414,0.2784010719006514
9,2023-10-03_Z_stack3_nuc10,10,HeLa,Non-Confined,"[(29.746289469630845, 108.95794424192637, 84.22937002618472)]",486925.0,5.0918875275987645,0.22473063597116666,0,11,12,176,191,37,84.22937002618472,108.95794424192637,29.746289469630845,0.8836930547715929,0.17354920940060967,33.34400617931511,192.1299802775015,196.596032513375,486227.375,169.78392918463118,0.20218198385953254,147899.9209046354,0.30417851505097876,486925.0,258.0,118.8993582173846,33.0,20.888223142867005,18.095621184983933,8.950395140389585,112810,0.6153731970235933
