,Image_name,Volume_agg_SITK (nm^3),Centroid,bbox_agg_0,bbox_agg_1,Aggregate ID,bbox_agg_2,bbox_agg_3,bbox_agg_4,bbox_agg_5,centroid_agg_0,centroid_agg_1,centroid_agg_2,Elongation,Flatness,LeastAxisLength,MajorAxisLength,Maximum3DDiameter,MeshVolume,MinorAxisLength,Sphericity,SurfaceArea,SurfaceVolumeRatio,VoxelVolume,Maximum,Mean,Minimum,r_agg_dist_488,r_agg_dist_560,p_agg_min_488,p_agg_min_560
0,2023-10-03_Z_stack9_nuc34,401.0,"(44.52369077306733, 33.910224438902745, 54.733167082294266)",51,30,1,41,9,10,9,54.733167082294266,33.910224438902745,44.52369077306733,0.8637367754810746,0.8199676310313251,7.5327681398644515,9.186665247248863,10.723805294763608,391.5416666666667,7.934860618082781,0.912866350193343,283.52775734794153,0.7241317629403635,401.0,230.0,158.1720698254364,120.0,8.28190493579092,8.976617935823501,1.0524262726904894,1.3025849171194377
1,2023-10-03_Z_stack9_nuc34,769.0,"(48.368010403120934, 75.28998699609883, 189.89726918075422)",185,70,2,43,11,12,11,189.89726918075422,75.28998699609883,48.368010403120934,0.8971712911143003,0.7794022360279625,8.93863400797575,11.468576294480966,13.19090595827292,757.4166666666666,10.289277401362346,0.9100942914482152,441.52399005817864,0.582934083034233,769.0,282.0,164.29388816644993,106.0,8.955138863886132,7.848312757527533,0.8130288358338369,1.1540648551645352
2,2023-10-03_Z_stack9_nuc34,688.0,"(52.68168604651163, 157.95058139534885, 146.71947674418604)",142,153,3,48,11,11,11,146.71947674418604,157.95058139534885,52.68168604651163,0.9846327286974935,0.8631816080711903,8.928343347165214,10.343528249073694,12.12435565298214,676.7083333333334,10.184576444245039,0.9142331251891576,407.71953602349674,0.6025040862363107,688.0,302.0,164.95058139534885,109.0,8.719383287302994,8.429883135969,0.9834943952196901,0.9834943952196901
3,2023-10-03_Z_stack9_nuc34,855.0,"(53.953216374269005, 52.523976608187134, 155.70526315789473)",150,47,4,49,12,12,11,155.70526315789473,52.523976608187134,53.953216374269005,0.9008992694887517,0.8219566596778712,9.570494824737857,11.643551654522247,13.379088160259652,843.1666666666666,10.489667179813638,0.917441227872039,470.45146433059557,0.5579578545134559,855.0,274.0,163.51345029239766,106.0,6.531988683621119,5.762183947364495,1.0903026918346364,1.4938548523273116
4,2023-10-03_Z_stack9_nuc34,413.0,"(56.142857142857146, 101.72881355932203, 54.21549636803874)",50,97,5,52,9,10,9,54.21549636803874,101.72881355932203,56.142857142857146,0.9317923471951082,0.8418177814446087,7.54551318014327,8.963356852827136,10.63014581273465,403.5,8.351987320643154,0.9091614810535503,290.45049641675945,0.719827748244757,413.0,247.0,158.9273607748184,112.0,6.289545814748508,7.510612343638134,1.6352420871143474,1.646141777448225
5,2023-10-03_Z_stack9_nuc35,673.0,"(41.51708766716196, 46.7592867756315, 104.13521545319465)",99,42,6,37,12,10,11,104.13521545319465,46.7592867756315,41.51708766716196,0.9834688348449225,0.8565396157749785,8.847706527187276,10.329594059910542,12.409673645990857,661.3333333333334,10.158833834521253,0.9128010210087644,402.1501941413726,0.6080900113024786,673.0,200.0,137.1589895988113,102.0,2.7316577701044173,2.0206237962593177,1.8733792630379307,1.7978402079975244
6,2023-10-03_Z_stack9_nuc35,294.0,"(41.86054421768708, 68.32993197278911, 43.93197278911565)",41,65,7,38,7,8,9,43.93197278911565,68.32993197278911,41.86054421768708,0.9749796300973818,0.86984072447634,6.774028457797685,7.787665335945007,9.433981132056603,285.8333333333333,7.5928150685618645,0.9284340162386009,226.0172899688623,0.7907310436228419,294.0,194.0,138.31292517006804,103.0,5.541559888021276,6.348966612178852,1.6624581034904622,1.422456823900501
7,2023-10-03_Z_stack9_nuc35,954.0,"(46.219077568134175, 20.0083857442348, 85.31341719077568)",81,14,8,41,10,14,12,85.31341719077568,20.0083857442348,46.219077568134175,0.8234415047894283,0.7181270829364002,9.365317728655496,13.041309750303515,14.628738838327793,940.9583333333334,10.738755725214972,0.9032692862184345,514.0994546302785,0.5463573002314432,954.0,210.0,138.0272536687631,101.0,4.396039116586476,4.030834525292072,2.0523296669582596,1.2891982013806262
8,2023-10-03_Z_stack9_nuc35,459.0,"(45.09803921568628, 110.57734204793029, 36.87581699346405)",32,106,9,41,11,10,9,36.87581699346405,110.57734204793029,45.09803921568628,0.8776978570301858,0.7031034123552948,7.069689230378301,10.054977839882563,11.575836902790225,448.7083333333333,8.825232502550932,0.8955382505405622,316.50171988477115,0.7053618049247384,459.0,198.0,135.94771241830065,101.0,8.16175522045466,9.102324149793462,0.8063947256114432,0.8736214629648115
9,2023-10-03_Z_stack9_nuc35,349.0,"(46.32951289398281, 89.24641833810888, 88.57879656160459)",84,85,10,43,9,9,8,88.57879656160459,89.24641833810888,46.32951289398281,0.9300706344107728,0.8885978648054145,7.404859257079231,8.333194969696162,9.899494936611665,340.1666666666667,7.750459932133971,0.9171467995010731,256.9447642412787,0.755349625403073,349.0,185.0,134.55300859598853,100.0,3.3261635897895125,3.9908920361412004,2.2393976680709877,0.8361986461304679
10,2023-10-03_Z_stack9_nuc35,588.0,"(49.5, 90.23469387755102, 71.98639455782313)",64,83,11,45,16,13,9,71.98639455782313,90.23469387755102,49.5,0.46316776977569935,0.4064331081290153,7.044526185475612,17.332559883973445,18.601075237738275,574.3333333333334,8.027883105963735,0.771509259583428,433.09748672207866,0.754087324530607,588.0,177.0,134.0952380952381,104.0,3.939305160789294,4.856617856933884,2.7612445935285237,0.6207624549653311
11,2023-10-03_Z_stack9_nuc35,491.0,"(51.05498981670061, 29.924643584521384, 26.623217922606926)",22,25,12,47,10,10,9,26.623217922606926,29.924643584521384,51.05498981670061,0.7882468200206297,0.741515096976087,7.7696130357040225,10.478024071780407,11.832159566199232,481.3333333333333,8.259269154680517,0.9075181577756608,327.2849941603518,0.6799549740173514,491.0,191.0,136.17922606924643,104.0,7.720710206560867,8.25631882594785,0.8847310077134872,0.9286756819701023
