,Elongation nucleus,Confiner height
0,0.2566104340526861,Non-confined
1,0.1021544838212961,Non-confined
2,0.079005597592455,Non-confined
3,0.0379432818699008,Non-confined
4,0.1001414675339633,Non-confined
5,0.1147077238535398,Non-confined
6,0.2316396543186679,Non-confined
7,0.1066961918538678,Non-confined
8,0.2561377507045997,Non-confined
9,0.1247256102329089,Non-confined
10,0.2386601161440684,Non-confined
11,0.0728227744424646,Non-confined
12,0.1137651328440879,Non-confined
13,0.1707175715253265,Non-confined
14,0.1900595021428873,Non-confined
15,0.168162187681498,Non-confined
16,0.1420315812286975,Non-confined
17,0.0657736355286682,Non-confined
18,0.1453603541819615,Non-confined
19,0.0613520125657366,Non-confined
20,0.206359805458019,Non-confined
21,0.1344235141914297,Non-confined
22,0.1884655687622389,Non-confined
23,0.1249966634745047,$<8.0$ -- $5.0$
24,0.2305819583318074,$<8.0$ -- $5.0$
25,0.002402614373075,$<8.0$ -- $5.0$
26,0.0930450347578504,$<5.0$
27,0.0426995397147123,$<8.0$ -- $5.0$
28,0.1424193268136724,$<5.0$
29,0.2028091886512694,$<8.0$ -- $5.0$
30,0.1548371363274072,$<8.0$ -- $5.0$
31,0.23060035023488,$<5.0$
32,0.0244851084603865,$<8.0$ -- $5.0$
33,0.2030443774893808,$<8.0$ -- $5.0$
34,0.0328246723690728,$<5.0$
35,0.1046335578762376,$<8.0$ -- $5.0$
36,0.0778638017748197,$<8.0$ -- $5.0$
37,0.2318120534562379,$<8.0$ -- $5.0$
38,0.0567237914080689,$<8.0$ -- $5.0$
39,0.3186562099727476,$<8.0$ -- $5.0$
40,0.0649180623995915,$<5.0$
41,0.2146350556905832,$<8.0$ -- $5.0$
42,0.177429078607532,$<5.0$
43,0.1894448546129821,$<5.0$
44,0.0847002830036169,$<8.0$ -- $5.0$
45,0.1712784455051852,$<8.0$ -- $5.0$
46,0.2162943203576283,$<5.0$
47,0.1121537050852656,$<8.0$ -- $5.0$
48,0.1011115756701925,$<8.0$ -- $5.0$
49,0.1279622347426527,$<5.0$
50,0.1408261154136313,$<8.0$ -- $5.0$
51,0.1480378946239882,$<8.0$ -- $5.0$
52,0.0856380203715351,$<5.0$
53,0.1644869804903774,$<8.0$ -- $5.0$
54,0.1753777485498612,$<8.0$ -- $5.0$
55,0.1371117553496893,$<8.0$ -- $5.0$
56,0.1193726027818624,$<8.0$ -- $5.0$
57,0.1270911663005582,$<8.0$ -- $5.0$
