,Condensate ID,x_corr,y_corr,frame,area_cond,Frames visible,t,Condition,Video
0,1,-5.227799920430278,0.950198682178266,0,421,10,0,Non-Confined,8104
1,1,-5.334103109516082,0.4294372387204341,1,386,10,1,Non-Confined,8104
2,1,-5.339329552148692,-0.531052036695922,2,523,10,2,Non-Confined,8104
3,1,-5.062690220782372,-1.6371417785844868,3,410,10,3,Non-Confined,8104
4,1,-4.470662860416775,-2.4845697945677547,4,407,10,4,Non-Confined,8104
5,1,-4.662806925505392,-1.5198045297995195,5,349,10,5,Non-Confined,8104
6,1,-4.5919023083068495,-1.7790956388332564,6,301,10,6,Non-Confined,8104
7,1,-4.396395819564387,-1.2999526371020298,7,294,10,7,Non-Confined,8104
8,1,-4.707330148297647,-1.0673905336119045,8,321,10,8,Non-Confined,8104
9,1,-4.913179649641092,-1.18504290967914,9,229,10,9,Non-Confined,8104
10,2,0.3323467085856615,5.20266541869253,0,331,10,0,Non-Confined,8104
11,2,-0.1424624225078308,5.1352707370892725,1,405,10,1,Non-Confined,8104
12,2,-1.1848631620913306,5.116260162156853,2,300,10,2,Non-Confined,8104
13,2,-1.4792452451726168,4.816161440927709,3,50,10,3,Non-Confined,8104
14,2,-2.105162149641065,4.5495195701216105,4,224,10,4,Non-Confined,8104
15,2,-1.0516948291105759,5.029680641051099,5,402,10,5,Non-Confined,8104
16,2,-1.1648145127535654,4.8962068145273365,6,325,10,6,Non-Confined,8104
17,2,-0.15497541140112175,4.947140900312935,7,252,10,7,Non-Confined,8104
18,2,0.19211751525375473,4.955528667747483,8,33,10,8,Non-Confined,8104
19,2,-0.5764540304407652,4.7804255111041565,9,256,10,9,Non-Confined,8104
20,3,5.9390568957838985,-1.3765645584370967,0,321,7,0,Non-Confined,8104
21,3,5.937678953153545,-0.9536236544451194,1,63,7,1,Non-Confined,8104
22,3,6.858694963344208,-2.87502109219855,2,287,7,2,Non-Confined,8104
23,3,6.869985754827385,-2.4230794567100866,3,508,7,3,Non-Confined,8104
24,3,6.9475050261831095,-1.7582497046036654,4,325,7,4,Non-Confined,8104
25,3,6.769215440035496,-2.992338108643053,5,305,7,5,Non-Confined,8104
26,3,6.629074831819671,-3.108390498433676,6,292,7,6,Non-Confined,8104
27,4,5.995609699522216,1.744383593644468,0,396,10,0,Non-Confined,8104
28,4,5.582065262677354,1.8923956907929758,1,432,10,1,Non-Confined,8104
29,4,5.54411733790867,2.992001412156849,2,400,10,2,Non-Confined,8104
30,4,5.082948334445217,3.6211626893353537,3,314,10,3,Non-Confined,8104
31,4,4.727386334428821,4.017583393348742,4,417,10,4,Non-Confined,8104
32,4,5.320724195204054,3.3311476081444162,5,337,10,5,Non-Confined,8104
33,4,5.435798365172855,3.3039413881059296,6,368,10,6,Non-Confined,8104
34,4,5.546418995804574,2.8648409352242603,7,341,10,7,Non-Confined,8104
35,4,5.982091708802142,2.1940317958022244,8,279,10,8,Non-Confined,8104
36,4,5.95478048120897,2.4882473074270353,9,283,10,9,Non-Confined,8104
0,6,4.301632687775803,-2.8252253318793934,0,677,20,0,Non-Confined,8104
1,6,4.534115495246625,-2.544122050035416,1,682,20,1,Non-Confined,8104
2,6,4.86013323444749,-2.3277232881780265,2,593,20,2,Non-Confined,8104
3,6,4.6369139491685205,-2.5789673541738694,3,519,20,3,Non-Confined,8104
4,6,4.312633437585171,-3.233356208118553,4,513,20,4,Non-Confined,8104
5,6,4.731428467593755,-2.8012412038224794,5,456,20,5,Non-Confined,8104
6,6,5.266867490305583,-1.7438609282148738,6,372,20,6,Non-Confined,8104
7,6,5.186438332598507,-2.1325643340316085,7,402,20,7,Non-Confined,8104
8,6,5.178176413777316,-2.610930319355458,8,260,20,8,Non-Confined,8104
9,6,5.335747979994877,-2.6794614602952618,9,524,20,9,Non-Confined,8104
10,6,5.241956808158187,-2.973857998748204,10,509,20,10,Non-Confined,8104
11,6,5.30036113505419,-2.8400559870804925,11,466,20,11,Non-Confined,8104
12,6,5.385487732696321,-3.1953189823916723,12,221,20,12,Non-Confined,8104
13,6,5.6478841184275055,-2.833150281244219,15,114,20,13,Non-Confined,8104
14,6,4.548339500761524,-4.001158573015841,24,314,20,14,Non-Confined,8104
15,6,4.997470143999219,-3.4508785700691744,25,368,20,15,Non-Confined,8104
16,6,5.278369744309866,-3.2970665143835096,26,552,20,16,Non-Confined,8104
17,6,4.66779397067609,-4.04389874216569,27,215,20,17,Non-Confined,8104
18,6,4.387153367486186,-4.584784291101612,28,241,20,18,Non-Confined,8104
19,6,3.252959637503529,-5.379253961695642,29,444,20,19,Non-Confined,8104
20,7,5.376292169461358,2.826119910681142,0,534,5,0,Non-Confined,8104
21,7,5.138439821008341,2.9074953544081454,1,590,5,1,Non-Confined,8104
22,7,5.0547669061251606,3.008949105506764,2,679,5,2,Non-Confined,8104
23,7,5.029180139210096,3.0630516364626446,3,513,5,3,Non-Confined,8104
24,7,5.8495484628874115,2.252283676089057,4,401,5,4,Non-Confined,8104
25,8,4.391162675600835,6.095048259587682,11,95,15,0,Non-Confined,8104
26,8,4.664956963465554,6.100034411273487,12,113,15,1,Non-Confined,8104
27,8,4.894659542008078,5.923175107989636,13,104,15,2,Non-Confined,8104
28,8,5.315214126591771,5.981295424672632,14,111,15,3,Non-Confined,8104
29,8,5.037167592841981,6.285816276474072,16,170,15,4,Non-Confined,8104
30,8,5.030790018128781,6.248600647378354,17,182,15,5,Non-Confined,8104
31,8,4.68195214453765,6.210781573066889,18,178,15,6,Non-Confined,8104
32,8,5.198475346472662,5.822250850411713,19,145,15,7,Non-Confined,8104
33,8,5.321837754295212,5.9600983583364,20,158,15,8,Non-Confined,8104
34,8,5.559358812081656,5.847205789991087,21,164,15,9,Non-Confined,8104
35,8,5.416727954141121,5.517730927249205,22,180,15,10,Non-Confined,8104
36,8,6.137573646559225,4.090869032835454,23,115,15,11,Non-Confined,8104
37,8,5.619516356726841,4.739860168620942,24,119,15,12,Non-Confined,8104
38,8,4.541991533750769,5.2545226980467685,25,126,15,13,Non-Confined,8104
39,8,4.079099443798356,6.338399171891003,26,153,15,14,Non-Confined,8104
40,9,-4.5848218299986385,2.492882415791919,3,147,19,0,Non-Confined,8104
41,9,-3.425316179791604,2.0347120993167023,4,175,19,1,Non-Confined,8104
42,9,-3.616970505105372,2.6477476823300674,5,187,19,2,Non-Confined,8104
43,9,-4.209223351019615,2.004261390878413,6,185,19,3,Non-Confined,8104
44,9,-4.318912872271002,1.6975463096772214,7,179,19,4,Non-Confined,8104
45,9,-4.433922304171404,1.803328830692025,8,243,19,5,Non-Confined,8104
46,9,-4.658100518784365,1.9985711717472627,9,247,19,6,Non-Confined,8104
47,9,-4.2513835405648,3.4638634541619147,10,256,19,7,Non-Confined,8104
48,9,-4.574208471015704,3.3450764362794105,11,280,19,8,Non-Confined,8104
49,9,-4.252845715105874,3.3148451255592,12,224,19,9,Non-Confined,8104
50,9,-4.431369834649746,3.8469574687323425,13,232,19,10,Non-Confined,8104
51,9,-5.310256726936529,3.4302487147408147,14,329,19,11,Non-Confined,8104
52,9,-5.271200450950484,2.482750891004585,15,220,19,12,Non-Confined,8104
53,9,-4.917768453445385,3.3258788029928774,16,122,19,13,Non-Confined,8104
54,9,-5.119356458923579,3.537071785064198,17,221,19,14,Non-Confined,8104
55,9,-5.377491956585943,3.371189971943296,18,200,19,15,Non-Confined,8104
56,9,-5.556832564277844,3.979486732764654,19,170,19,16,Non-Confined,8104
57,9,-5.496200557941072,4.05143395327311,20,225,19,17,Non-Confined,8104
58,9,-5.770711882670748,4.524032582304468,21,99,19,18,Non-Confined,8104
59,10,-3.6633717481551367,-6.332819850621926,1,124,19,0,Non-Confined,8104
60,10,-3.2601041037869702,-6.238320842036715,2,89,19,1,Non-Confined,8104
61,10,-4.238436763989528,-5.586707003636211,4,179,19,2,Non-Confined,8104
62,10,-3.37657220661242,-5.906242448929048,5,121,19,3,Non-Confined,8104
63,10,-3.024733761084852,-7.021689960472937,6,174,19,4,Non-Confined,8104
64,10,-2.9223142378824227,-6.876388662389816,7,135,19,5,Non-Confined,8104
65,10,-2.8961446960289097,-6.394997415656103,8,131,19,6,Non-Confined,8104
66,10,-2.994530073440237,-6.756260629219172,9,93,19,7,Non-Confined,8104
67,10,-3.489018767837527,-6.198912611178993,10,132,19,8,Non-Confined,8104
68,10,-3.391469893533863,-6.7182596351491615,11,118,19,9,Non-Confined,8104
69,10,-3.6035418317151704,-6.637853540533743,12,83,19,10,Non-Confined,8104
70,10,-3.992335551657909,-6.639917445340237,14,126,19,11,Non-Confined,8104
71,10,-2.4717302746981673,-7.2903266507393845,15,98,19,12,Non-Confined,8104
72,10,-3.892040485997706,-6.116805175115528,18,102,19,13,Non-Confined,8104
73,10,-5.77100079957196,-5.263935424098091,19,153,19,14,Non-Confined,8104
74,10,-5.215656794500211,-5.123568240275276,20,124,19,15,Non-Confined,8104
75,10,-5.694963268873196,-5.18556709532287,21,141,19,16,Non-Confined,8104
76,10,-5.2187337849893165,-5.688888493040652,22,92,19,17,Non-Confined,8104
77,10,-6.133165901718585,-5.279745614256585,23,77,19,18,Non-Confined,8104
0,11,-2.013533257902371,5.820875543930491,0,388,21,0,Non-Confined,8104
1,11,-2.6107617715724887,5.6053129266111785,4,319,21,1,Non-Confined,8104
2,11,-2.575399994006167,5.886441255875665,5,410,21,2,Non-Confined,8104
