,Image name,Cell line,Condition,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3),Nucleus ID,Number of total HP1a condensates,Number of voxels nucleus,bbox nucleus (um),Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Confiner height (um),Number of voxels inner nucleus object,Number of voxels HP1a condensates,Radial distance random point (um),Radial distance HP1a condensate (um),Peripheral distance random point (um),Peripheral distance HP1a condensate (um),Major axis HP1a condensate (um),Intermediate axis HP1a condensate (um),Minor axis HP1a condensate (um),Radial distance HP1a condensate scaled,Minimum peripheral distance HP1a condensate scaled,Radial distance random point scaled,Minimum peripheral distance random point scaled,Volume HP1a condensate (um3),Volume nucleus (um3)
0,2021-12-22_Image1,IMR90,Confined,0.172916580930095,0.0489166097444582,0.0489166097444582,0.0023928347088916,0.0004137607965923,10,7,1504896.0,"[-12.1634745038257, 12.48061380290174, -5.3169433673124, 6.544123829334262, -2.1614572616261882, 2.1614572616261882]",24.64408830672744,11.861067196646662,3.81,$<5.0$ -- $3.0$,1251336,4905.0,9.254971182408052,9.432010693628966,0.6900238745630973,0.8615083398988331,1.6682525988226318,1.218537547782141,1.5562492283708556,0.3827291387790628,0.22611767451412942,0.3755452856367827,0.18110862849425127,2.029496707285717,622.666967748715
1,2021-12-22_Image1,IMR90,Confined,0.172916580930095,0.0489166097444582,0.0489166097444582,0.0023928347088916,0.0004137607965923,10,7,1504896.0,"[-12.1634745038257, 12.48061380290174, -5.3169433673124, 6.544123829334262, -2.1614572616261882, 2.1614572616261882]",24.64408830672744,11.861067196646662,3.81,$<5.0$ -- $3.0$,1251336,166.0,11.70684800556171,9.052509075409374,0.0,1.3184144538747469,0.4116988378463851,0.327379572148927,0.6916663237203804,0.3673298424652286,0.3460405390747367,0.4750367658099135,0.0,0.0686842922343382,622.666967748715
2,2021-12-22_Image1,IMR90,Confined,0.172916580930095,0.0489166097444582,0.0489166097444582,0.0023928347088916,0.0004137607965923,10,7,1504896.0,"[-12.1634745038257, 12.48061380290174, -5.3169433673124, 6.544123829334262, -2.1614572616261882, 2.1614572616261882]",24.64408830672744,11.861067196646662,3.81,$<5.0$ -- $3.0$,1251336,856.0,4.495938664087712,8.960055104289331,1.2441035408001997,1.3422711149503364,1.0735344201623545,0.6559130657406851,0.8645829046504754,0.3635782745447873,0.35230212990822474,0.1824347733269724,0.3265363624147506,0.3541792418830936,622.666967748715
3,2021-12-22_Image1,IMR90,Confined,0.172916580930095,0.0489166097444582,0.0489166097444582,0.0023928347088916,0.0004137607965923,10,7,1504896.0,"[-12.1634745038257, 12.48061380290174, -5.3169433673124, 6.544123829334262, -2.1614572616261882, 2.1614572616261882]",24.64408830672744,11.861067196646662,3.81,$<5.0$ -- $3.0$,1251336,16977.0,1.9904603379536792,6.083436598595626,1.0189826422709634,2.3344260604148097,3.5692974955516714,2.110456374027058,1.556249228370855,0.2468517610746811,0.5,0.0807682683643977,0.267449512407077,7.02441704374916,622.666967748715
4,2021-12-22_Image1,IMR90,Confined,0.172916580930095,0.0489166097444582,0.0489166097444582,0.0023928347088916,0.0004137607965923,10,7,1504896.0,"[-12.1634745038257, 12.48061380290174, -5.3169433673124, 6.544123829334262, -2.1614572616261882, 2.1614572616261882]",24.64408830672744,11.861067196646662,3.81,$<5.0$ -- $3.0$,1251336,3088.0,4.395120899481075,3.931844108268879,0.4263968553746596,1.3278289342904108,1.4203318156564884,1.1120152080072323,1.0374994855805704,0.1595451233306751,0.3485115313098191,0.1783438220468183,0.11191518513770593,1.2776933398773285,622.666967748715
5,2021-12-22_Image1,IMR90,Confined,0.172916580930095,0.0489166097444582,0.0489166097444582,0.0023928347088916,0.0004137607965923,10,7,1504896.0,"[-12.1634745038257, 12.48061380290174, -5.3169433673124, 6.544123829334262, -2.1614572616261882, 2.1614572616261882]",24.64408830672744,11.861067196646662,3.81,$<5.0$ -- $3.0$,1251336,1954.0,2.0456327045025247,0.759880439239501,1.4141256178273425,0.9997518239073436,1.3569707975155678,0.9505734395353936,1.2104160665106654,0.0308341874847147,0.2624020535189878,0.0830070351575594,0.3711615794822421,0.8084885965415478,622.666967748715
6,2021-12-22_Image1,IMR90,Confined,0.172916580930095,0.0489166097444582,0.0489166097444582,0.0023928347088916,0.0004137607965923,10,7,1504896.0,"[-12.1634745038257, 12.48061380290174, -5.3169433673124, 6.544123829334262, -2.1614572616261882, 2.1614572616261882]",24.64408830672744,11.861067196646662,3.81,$<5.0$ -- $3.0$,1251336,730.0,3.7427267802241113,3.5486077683657715,0.6234926070849358,1.3022808634253091,1.0787722416787902,0.5466420346947112,0.8645829046504754,0.143994280664749,0.34180600089903124,0.1518711803675207,0.16364635356559995,0.3020453815124513,622.666967748715
7,2022-01-28_Image2,IMR90,Confined,0.172916580930095,0.0426143561206932,0.0426143561206932,0.0018159833475812,0.0003140136314897,11,7,1298372.0,"[-8.761003966781724, 8.444695348764776, -4.6728603042477435, 5.084533175044867, -2.8531235853465686, 2.8531235853465686]",17.2056993155465,9.75739347929261,2.77,$<3.0$,1103012,1278.0,7.061546070959318,3.3056300623547035,0.5181806734565481,1.0230653454904246,0.856521061887088,0.6022686633103473,1.9020823902310455,0.1921241329242483,0.2693376698521388,0.4104190095068521,0.18706883518286935,0.4013094210438888,407.7065067445978
8,2022-01-28_Image2,IMR90,Confined,0.172916580930095,0.0426143561206932,0.0426143561206932,0.0018159833475812,0.0003140136314897,11,7,1298372.0,"[-8.761003966781724, 8.444695348764776, -4.6728603042477435, 5.084533175044867, -2.8531235853465686, 2.8531235853465686]",17.2056993155465,9.75739347929261,2.77,$<3.0$,1103012,1242.0,4.773893233981181,2.7438404770813447,0.1831177507936267,1.2998905826634426,0.9168109459954688,0.4911896686304922,1.7291658093009508,0.159472766945433,0.36927457857886015,0.2774599942977993,0.06610749126123708,0.3900049303102581,407.7065067445978
9,2022-01-28_Image2,IMR90,Confined,0.172916580930095,0.0426143561206932,0.0426143561206932,0.0018159833475812,0.0003140136314897,11,7,1298372.0,"[-8.761003966781724, 8.444695348764776, -4.6728603042477435, 5.084533175044867, -2.8531235853465686, 2.8531235853465686]",17.2056993155465,9.75739347929261,2.77,$<3.0$,1103012,342.0,4.673613746714536,1.6306776989890237,1.2119154346580103,1.0898272591224922,0.3804274838420733,0.3804274838420733,1.0374994855805704,0.0947754385964188,0.2934394437265315,0.2716317227798822,0.4375145973494622,0.1073926619694913,407.7065067445978
