,Elongation nucleus,Confiner height
0,0.3689512082698063,Non-confined
1,0.2529564592782091,Non-confined
2,0.1428917431634054,Non-confined
3,0.141786252696575,Non-confined
4,0.2113682241737449,Non-confined
5,0.3220134195970378,Non-confined
6,0.2422639490128852,Non-confined
7,0.1992774937044605,Non-confined
8,0.2283364084376292,Non-confined
14,0.2121495964381496,Non-confined
15,0.3892844844303654,Non-confined
19,0.220537975589529,Non-confined
39,0.2856265434686844,Non-confined
40,0.2231952773736553,Non-confined
41,0.1019892744678723,Non-confined
42,0.3995974371857046,Non-confined
43,0.3514333433826685,Non-confined
44,0.2318884481602883,Non-confined
45,0.1287941698667126,Non-confined
9,0.3066163079352917,$<5.0$ -- $3.0$
10,0.2468123900406247,$<3.0$
11,0.1147861999987568,$<5.0$ -- $3.0$
12,0.2839858875382864,$<5.0$ -- $3.0$
13,0.1765896140575943,$<3.0$
16,0.1283830386347229,$<3.0$
17,0.1164302381218833,$<5.0$ -- $3.0$
18,0.3990008811936081,$<5.0$ -- $3.0$
20,0.2764486884462213,$<3.0$
21,0.3327346566414815,$<5.0$ -- $3.0$
22,0.3102739370049089,$<3.0$
23,0.1959725151070857,$<5.0$ -- $3.0$
24,0.1675595718542383,$<5.0$ -- $3.0$
25,0.3818004295909237,$<5.0$ -- $3.0$
26,0.2539976934223086,$<5.0$ -- $3.0$
27,0.172808677773791,$<3.0$
28,0.2280076799263215,$<5.0$ -- $3.0$
29,0.1325895714031675,$<3.0$
30,0.0886099910067694,$<3.0$
31,0.1808275218544281,$<5.0$ -- $3.0$
32,0.1933856455964344,$<3.0$
33,0.307152949099389,$<5.0$ -- $3.0$
34,0.0799438488349991,$<3.0$
35,0.1670049155723998,$<3.0$
36,0.2068235970231191,$<5.0$ -- $3.0$
37,0.3172743869313104,$<5.0$ -- $3.0$
38,0.1298535061574711,$<3.0$
