,Sphericity_nucleus,Confiner height ($\mu$m)
0,0.3984737841494221,Non-confined
1,0.4515139296297612,Non-confined
2,0.4082483466618575,Non-confined
3,0.4613393886260915,Non-confined
4,0.4870629499156577,Non-confined
5,0.455124758809633,Non-confined
6,0.501677079371522,Non-confined
7,0.9210466294715411,Non-confined
8,0.3451193228401502,Non-confined
9,0.297783813422209,$<5.0$ -- $3.0$
10,0.3399143580455231,$<3.0$
11,0.3226682122597278,$<5.0$ -- $3.0$
12,0.2653671487732323,$<5.0$ -- $3.0$
13,0.3443536733684199,$<3.0$
14,0.2176834414409193,$<3.0$
15,0.2649476137923664,Non-confined
16,0.4646355057968725,Non-confined
17,0.3664390561114229,$<3.0$
18,0.3772476711140299,$<5.0$ -- $3.0$
19,0.3248156819531032,$<5.0$ -- $3.0$
20,0.3168398989273358,Non-confined
21,0.3025434168911166,$<3.0$
22,0.3063688588319909,$<5.0$ -- $3.0$
23,0.2496908892563462,$<3.0$
24,0.2881031521849896,$<5.0$ -- $3.0$
25,0.2611819743344187,$<5.0$ -- $3.0$
26,0.3388325251768452,$<5.0$ -- $3.0$
27,0.1934522959789914,$<5.0$ -- $3.0$
28,0.3260015162714326,$<3.0$
29,0.4207048411960268,$<5.0$ -- $3.0$
30,0.3323663512904166,$<3.0$
31,0.2778206163520207,$<3.0$
32,0.1916923726475155,$<5.0$ -- $3.0$
33,0.2548482521838358,$<3.0$
34,0.2894324547532613,$<5.0$ -- $3.0$
35,0.3585029351854884,$<3.0$
36,0.3404413444353809,$<3.0$
37,0.2641580007307371,$<5.0$ -- $3.0$
38,0.3013096006005062,$<5.0$ -- $3.0$
39,0.2333339207164149,$<3.0$
40,0.2529093354254612,Non-confined
41,0.3134626043979586,Non-confined
42,0.3077413899204631,Non-confined
43,0.2780766878189897,Non-confined
44,0.2436385097636267,Non-confined
45,0.3913128418942941,Non-confined
46,0.2528579871814658,Non-confined
