,r_major_axis,Confiner height ($\mu$m),p_agg_min/z_length_x
0,0.106216594195599,Non-confined,0.2942192652923188
1,0.2219989754396878,Non-confined,0.175875088914629
2,0.1322647138181104,Non-confined,0.3273038403540606
3,0.1376964016724973,Non-confined,0.3044843290142471
4,0.2291168638384718,Non-confined,0.3803877755911817
5,0.3287124083742943,Non-confined,0.2455306765030424
6,0.2958682882514636,Non-confined,0.3891368986862202
7,0.2802961258587989,Non-confined,0.4033803121215953
8,0.2790707593465026,Non-confined,0.3824923634734988
9,0.2309489724726809,Non-confined,0.3055504197065579
10,0.1779107379910623,Non-confined,0.2064600134877273
11,0.1629611630083064,Non-confined,0.1551052991875184
12,0.0457302164425684,Non-confined,0.3676577371099507
13,0.2160692062588795,Non-confined,0.1049508123497264
14,0.1069565052959582,Non-confined,0.3473764436071705
15,0.4750886221069019,Non-confined,0.0805956140887797
16,0.3859806235705614,Non-confined,0.1697742561613215
17,0.1606979909122381,Non-confined,0.1029502877071498
18,0.1532926133643998,Non-confined,0.2160141526782849
19,0.1081771404467024,Non-confined,0.3294116128105797
20,0.1897176625142396,Non-confined,0.2575487605313961
21,0.0907813935589621,Non-confined,0.3718462641589738
22,0.1971821402635093,Non-confined,0.2843017130369034
23,0.3044400692653989,Non-confined,0.3001664777277856
24,0.1719853644796678,Non-confined,0.2776892413002264
25,0.4901370674951263,Non-confined,0.0457030540659664
26,0.2537169964162398,Non-confined,0.3047712334846953
27,0.2720677164307967,Non-confined,0.2419610164441385
28,0.1457129530757404,Non-confined,0.2532239437135556
29,0.1502829745416892,Non-confined,0.1790634289146295
30,0.2493169768254922,Non-confined,0.2315927227947022
31,0.3082990233742889,Non-confined,0.1758070407731699
32,0.2435007712364292,Non-confined,0.1708164485531696
33,0.2026464860011264,Non-confined,0.1290471940450836
34,0.2108277763369314,Non-confined,0.4068438741543729
35,0.3916789159667205,Non-confined,0.1190582354858403
36,0.2299350161208939,Non-confined,0.2137427326692589
37,0.254690473921854,Non-confined,0.1832460913682827
38,0.0896014348066392,Non-confined,0.3173480542316371
39,0.2874535550309038,Non-confined,0.250805171317376
40,0.1288841364869149,Non-confined,0.2944741929408199
41,0.3127334412555403,Non-confined,0.155953540295664
42,0.2962249608796186,Non-confined,0.3561337564695946
43,0.3706029425037668,Non-confined,0.1195082715435427
44,0.1064764193036955,Non-confined,0.3948539491794452
45,0.2280350205052278,Non-confined,0.1708158185525514
46,0.2390776665239383,Non-confined,0.2317174165228414
47,0.0712856972272101,Non-confined,0.4179592649782468
48,0.507940025560495,Non-confined,0.0468394963039591
49,0.2508580324110794,Non-confined,0.0661890121431128
50,0.3001880786204006,Non-confined,0.3211227515008014
51,0.2484553576566248,Non-confined,0.1189153602477561
52,0.3720454291596712,Non-confined,0.0729144543132823
53,0.3805997992418441,Non-confined,0.0434214172524592
54,0.1324538372321996,Non-confined,0.192363179932629
55,0.1455760198488314,Non-confined,0.2984310267985597
56,0.3950569329419492,Non-confined,0.0630037118070903
57,0.2512202821923445,Non-confined,0.1761753147602685
58,0.313303014488829,Non-confined,0.0626310604170814
59,0.2397522384459199,Non-confined,0.2263393020536085
60,0.2899156212434935,Non-confined,0.0662654468256537
61,0.184620385521877,Non-confined,0.1869441980859535
62,0.3124068278068391,Non-confined,0.1100194007869354
63,0.30453316481919,Non-confined,0.1602608730814819
64,0.3286257006297701,Non-confined,0.1296013101880787
65,0.3329400383381334,Non-confined,0.0940339912932937
66,0.2553283763581157,Non-confined,0.1560856393438309
67,0.3761514648673871,Non-confined,0.0692128973453957
68,0.1751008968806604,Non-confined,0.2908593244155554
69,0.4074232746217993,Non-confined,0.0849704909459753
70,0.142380454740794,Non-confined,0.2769253169515466
71,0.297666432471955,Non-confined,0.1060284741094301
72,0.1328570992376995,Non-confined,0.2456193154335517
73,0.3092793201725175,Non-confined,0.1484964116099069
74,0.2728985454547551,Non-confined,0.0904700082024125
75,0.2719969074291732,Non-confined,0.0864925293996031
76,0.3891128489371382,Non-confined,0.09868570965727
77,0.2504680012059788,Non-confined,0.1385626273902731
78,0.3878097966331401,Non-confined,0.1970653657219047
79,0.2652806323759626,Non-confined,0.2715434610489097
80,0.1995608411332502,Non-confined,0.2265653115823697
81,0.2494707102299231,Non-confined,0.2248061739967094
82,0.2135630807324061,Non-confined,0.3396820368936311
83,0.1624593369847233,Non-confined,0.243475040067191
84,0.353176849308403,Non-confined,0.1379979085139652
85,0.4188192721496964,Non-confined,0.0837820754136755
86,0.3947456372749099,Non-confined,0.2093066526477774
87,0.3109770297650869,Non-confined,0.3155329470738797
88,0.3164815094347158,Non-confined,0.2932693080658967
89,0.3374942978032826,Non-confined,0.2799595055001863
90,0.1530938118543567,Non-confined,0.3897614961974547
91,0.2703961229157486,Non-confined,0.11757934602209
92,0.3489898921961057,Non-confined,0.1934547521234348
93,0.3237165745942652,Non-confined,0.2672200077829326
94,0.059838486230619,Non-confined,0.4502197678301512
95,0.2121294423642237,Non-confined,0.2318170073466198
96,0.3320719509087265,Non-confined,0.2395120756562758
97,0.1983273581996294,Non-confined,0.4102348465787419
98,0.1390270384251356,Non-confined,0.3717421729068812
99,0.2585343222656011,Non-confined,0.3048619071458007
100,0.12032551882776,Non-confined,0.3592013442174947
101,0.2433873638009093,Non-confined,0.3361030403395256
102,0.1375838672796471,Non-confined,0.0114460826392868
103,0.3295355658735383,Non-confined,0.2569377809643198
