,Image name,Cell line,Condition,Physical pixel size Z,Physical pixel size Y,Physical pixel size X,Pixel size (um2),Voxel size (um3),Nucleus ID,Centroid nucleus,Number of total intense chromatin,Number of voxels nucleus,bbox nucleus (um),Major axis nucleus (um),Intermediate axis nucleus (um),Minor axis nucleus (um),Number of voxels periphery,Channel,Volume nucleus (um3),Total volume intense chromatin in nucleus (um3),Total volume intense chromatin / Nucleus volume
0,2023-12-13_Z_stack1,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,1,"[(48.91124028480887, 221.96809080550344, 296.9544767827482)]",20,1218648.0,"[-7.977036297795866, 7.757900600817675, -3.8849503803675116, 3.9578758467098765, -4.159999999999998, 4.16]",13.799739517248955,6.708291039547746,7.679999999999998,1042173,405,446.94340171142574,21.08392437979338,0.0471735890921742
1,2023-12-13_Z_stack2,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,2,"[(33.69725159755803, 268.6801626660015, 166.7735186401476)]",12,1116439.0,"[-6.008632960897498, 6.015555663915421, -5.036119542349747, 5.1591403694736355, -4.4799999999999995, 4.48]",10.596205292639862,8.932850057857435,7.360000000000001,969814,405,409.45789470240993,12.589546899964642,0.0307468657042614
2,2023-12-13_Z_stack3,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,3,"[(56.07974893670144, 471.524972838145, 370.6080232226135)]",9,1523613.0,"[-8.670697390781427, 8.249637995870371, -4.000010442739322, 4.465336435806144, -4.959999999999999, 4.960000000000001]",15.370185325748118,7.518586039784863,8.000000000000002,1181149,405,558.790378445417,10.441104981358505,0.0186851910557339
3,2023-12-13_Z_stack4,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,4,"[(48.84628237310928, 262.54303495203726, 174.66875558658106)]",10,1504289.0,"[-9.33208816356319, 9.38130426323381, -4.362100868940782, 4.276495109473471, -3.3599999999999994, 3.3599999999999994]",16.893761740807967,7.814379841469895,5.759999999999998,1207648,405,551.70323408981,5.438587437864529,0.0098578132260489
4,2024-01-18_Z_stack5,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,5,"[(34.30621787636522, 301.37042720963285, 322.1564312973666)]",14,1213631.0,"[-9.505193978241953, 9.37405244287995, -3.0903068150016977, 4.261383199093012, -3.5199999999999996, 3.5200000000000014]",17.11414197876443,6.375956458283199,5.119999999999999,950276,405,445.1033994742036,6.755599204630428,0.0151775951668999
5,2024-01-18_Z_stack6,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,6,"[(33.42231812198171, 338.5371321355833, 292.9383066959528)]",15,1537196.0,"[-8.491743519550049, 8.583253179954818, -4.294382641786522, 4.119072514655858, -4.159999999999999, 4.16]",15.430314040623337,7.454908630013784,6.4,1212052,405,563.7719910402321,14.619527442724111,0.0259316313599567
6,2024-01-18_Z_stack7,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,7,"[(44.165642564045626, 268.1197261720729, 281.6570495136663)]",17,1545958.0,"[-9.734252663950029, 9.83780990982613, -4.881622080650232, 5.0423461477121485, -4.159999999999998, 4.16]",17.58659987357329,8.783029858480127,5.44,1321940,405,566.9854850810015,12.309347236971284,0.0217101628892893
7,2024-01-18_Z_stack8,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,8,"[(50.17420338848591, 256.20166941981677, 260.4563151207441)]",7,1384675.0,"[-8.329718490382904, 8.707515867750098, -4.344940535730834, 5.9755552045963665, -3.6799999999999997, 3.6799999999999997]",14.777412968196144,9.219717095275094,5.439999999999998,1167003,405,507.83438266404113,7.217708596478111,0.0142127213967176
8,2024-01-18_Z_stack9,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,9,"[(32.0616128006816, 278.265405822335, 188.4974141422617)]",10,1013632.0,"[-5.788468714794371, 6.189525395195609, -4.476432898249313, 4.6088495474559785, -4.64, 4.640000000000001]",10.552721134077448,8.127004866519474,7.359999999999999,906579,405,371.7530691090092,7.413554957784988,0.0199421486298775
9,2024-01-18_Z_stack10,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,10,"[(24.119554848612687, 285.9093768748796, 423.76726058030414)]",12,1581173.0,"[-9.59251721066881, 10.130229055563424, -4.564649649128011, 5.7201276096788485, -3.5200000000000005, 3.5200000000000005]",18.164380112515552,9.008844531960786,5.44,1300356,405,579.900709076173,13.174518709486115,0.0227185766516377
10,2023-12-13_Z_stack11,IMR90,Non-Confined,0.32,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0003667534855934,11,"[(33.28426152555713, 217.2663431292852, 250.66380835881301)]",21,2315369.0,"[-9.160468336296091, 8.727869842331181, -3.8381810156390292, 5.141913147073446, -8.32, 8.32]",15.77749952902261,7.79842399577869,6.24,1918890,405,849.169651184905,26.80234472716567,0.0315630035644426
11,2023-12-13_Z_stack12,IMR90,Confined,0.16,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0001833767427967,1,"[(53.722564993440805, 323.1511549288439, 263.9987976760189)]",22,2617645.0,"[-9.097654244094382, 9.327456983962055, -4.500393198021781, 5.0602889993426565, -3.4400000000000004, 3.4399999999999995]",15.53590872147162,8.026712731639307,4.800000000000001,2169314,405,480.01521389806777,4.652818094980669,0.0096930638035333
12,2024-01-18_Z_stack13,IMR90,Confined,0.16,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0001833767427967,2,"[(32.49680005876092, 285.4473319172916, 258.4687055981813)]",13,1513430.0,"[-10.857374456263718, 10.646332709142705, -3.9682567027054763, 4.073873274135597, -1.44, 1.4400000000000004]",18.895514456095302,6.865894423512985,2.4000000000000004,1238586,405,277.5278638508097,4.322373204461016,0.0155745558103116
13,2024-01-18_Z_stack14,IMR90,Confined,0.16,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0001833767427967,3,"[(40.069749157777125, 435.76395920132893, 278.48399600410863)]",20,1658993.0,"[-8.079909495846305, 8.054434163013497, -5.223036798473735, 5.050305579056857, -2.4, 2.4000000000000004]",14.053044555692008,8.67395685487164,3.52,1584088,405,304.22073266252573,4.336126460170768,0.0142532246971506
14,2024-01-24_Z_stack15,IMR90,Confined,0.16,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0001833767427967,4,"[(42.193688354291965, 211.5553425915801, 266.96721997448515)]",21,2639625.0,"[-8.899385857747655, 8.932573318156296, -4.949476844714479, 5.479514252204646, -3.68, 3.6799999999999997]",15.19317127712289,8.669093736213147,3.76,2431372,405,484.04583470473926,7.416855739155328,0.0153226310555476
15,2024-01-24_Z_stack16,IMR90,Confined,0.16,0.0338541672837999,0.0338541672837999,0.0011461046424795,0.0001833767427967,5,"[(37.4363505147121, 191.04048004480126, 187.19440108260505)]",12,1289316.0,"[-5.310139576053369, 5.569499936736398, -4.958943021029829, 4.935266429250146, -3.1200000000000006, 3.12]",8.988391677755953,8.135356502384049,4.640000000000001,1060275,405,236.43056851567007,2.976204535590441,0.0125880699533706
